OBJECTID,Jurisdiction,LG_Type,MPO,RTPA,Air District,Population,Jurisdiction URL,Regional Plan URL,Climate Action Plan URL,Energy Action Plan URL,Other Climate Plan URL,Municipal Inventory URL,Community Inventory URL,Baseline year,Latest Inventory Year,x,y
16,Kings,County,Kings County Association of Governments,KCAG,SJVAPCD,150998,http://www.countyofkings.com/,http://www.valleyair.org/Programs/CCAP/CCAP_idx.htm,http://www.kingscog.org/vertical/sites/%7BC427AE30-9936-4733-B9D4-140709AD3BBF%7D/uploads/GHGEmissionsInventory.pdf,,,http://www.kingscog.org/vertical/sites/%7BC427AE30-9936-4733-B9D4-140709AD3BBF%7D/uploads/GHGEmissionsInventory.pdf,http://www.kingscog.org/vertical/sites/%7BC427AE30-9936-4733-B9D4-140709AD3BBF%7D/uploads/GHGEmissionsInventory.pdf,2005,2005,,
17,Lake,County,,Lake CCAPC,LCAQMD,64158,http://www.co.lake.ca.us/,,,,,http://www.lakecountyca.gov/Assets/Departments/SpecialDistricts/docs/Carbon+Footprint+of+Lake+County+Special+Districts.pdf,,,,,
18,Lassen,County,,Lassen CTC,LCAPCD,32645,http://www.lassencounty.org/,,,,,,,,,,
19,Los Angeles,County,Southern California Association of Governments,LACMTA,"SCAQMD, AVAQMD",10038388,https://www.lacounty.gov/,http://media.metro.net/projects_studies/sustainability/images/Climate_Action_Plan.pdf,http://file.lacounty.gov/SDSInter/bos/supdocs/92407.pdf,,,,http://www.energyatlas.ucla.edu/strategies/,2010,2010,,
20,Madera,County,Madera County Transportation Commission,MCTC,SJVAPCD,153187,http://www.madera-county.com/,http://www.valleyair.org/Programs/CCAP/CCAP_idx.htm,,,,,,,,,
21,Mariposa,County,,Mariposa LTC,Mariposa County APCD,17789,http://www.mariposacounty.org/,,,http://www.mariposacounty.org/DocumentCenter/View/47517,,http://www.mariposacounty.org/DocumentCenter/View/33214,http://www.mariposacounty.org/DocumentCenter/View/33214,2010,2010,,
22,Mendocino,County,,Mendocino COG,MCAQMD,87544,https://www.co.mendocino.ca.us/,,,,,,,,,,
23,Merced,County,Merced County Association of Governments,MCAG,SJVAPCD,263885,https://www.co.merced.ca.us/,http://www.valleyair.org/Programs/CCAP/CCAP_idx.htm,,,http://web2.co.merced.ca.us/pdfs/planning/generalplan/DraftGP/BackroundRpt_2030/MCGPU_BR_Ch12_Climate-2012-11-30.pdf,,http://web2.co.merced.ca.us/pdfs/planning/generalplan/DraftGP/BackroundRpt_2030/MCGPU_BR_Ch12_Climate-2012-11-30.pdf,2005,2005,,
24,Modoc,County,,Modoc CTC,Modoc County APCD,9184,http://www.co.modoc.ca.us/,,,,,,,,,,
25,Mono,County,,Mono LTC,GBUAPCD,14146,https://monocounty.ca.gov/,,,,http://monoclimateaction.org/wp-content/uploads/2017/04/Mono-REP-38-MW_Final.pdf,http://monoclimateaction.org/wp-content/uploads/2017/04/Mono-REP-38-MW_Final.pdf,http://monoclimateaction.org/wp-content/uploads/2017/04/Mono-REP-38-MW_Final.pdf,2005,2010,,
